发布日期,投放截止,状态,进展,作者昵称,标题,链接,笔记ID,一级分类,二级分类,投放记录,投前互动量,投后互动量,投放后点赞量,投放后收藏量,投放后评论量,总互动量,总投放金额,总CPE,备注
,,已停,1.13投200,,耶耶体验官报到！,https://www.xiaohongshu.com/explore/696491e5000000001a02f3dc?xsec_token=ABRm7MWF_z6TPJSasDNcahCruwgOxjRVXOnAZvMpB3i4k=&xsec_source=pc_search&source=unknown,,宠物出行,,,22,330,,,,352,200,0.57,拒审
,,已停,"1.13投200
1.14追1000
1.15追2000
1.19追5000",,滴滴女性友好订单,https://www.xiaohongshu.com/explore/6964fcf7000000000e00c0c5?xsec_token=ABRm7MWF_z6TPJSasDNcahCrfpKkYtSsUT2Cilcxkk9d0=&xsec_source=pc_search&source=unknown,,可选女司机,,,5,12683,,,,12688,8200,0.65,万赞
,,已停,1.13投165,,女性友好，女性团结！,https://www.xiaohongshu.com/explore/69612ed2000000000a030070?note_flow_source=wechat&xsec_token=CBQf1ZVXP1jnxxqGiMpX6cH4ZakdFZ2uBo4LvTjyBL4B0=,,可选女司机,,,1674,180,,,,1854,165,0.09,
,,已停,"1.13投200
1.14追500
1.15追1000
1.16追2000
1.19追5000",,滴滴打到女司机的车有感,https://www.xiaohongshu.com/explore/6965ea00000000001a027985?xsec_token=ABhj-J7kfrozTlvTUPI2vfxkufVbEiU27etAnORGV7KVs=&xsec_source=pc_feed,,乘车体验,,,6,9835,,,,9841,8700,0.88,千赞
,,已停,1.13投200,,网约公交车坐上啦，好玩好玩😘,https://www.xiaohongshu.com/explore/6965a346000000001a023c08?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBsUFowIQWN23ilvtQQTlxbtL4-N9Q8bSGqgrZl2DVAog=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768290224&share_id=ab7c95e689a8476c8ca538de69959810,,公交,,,4,74,,,,78,200,2.56,
,,已停,1.13投200,,天津空港网约公交体验,https://www.xiaohongshu.com/explore/6964b584000000001a0205e5?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB5FJ0ZenalcxXz60wsylSA13xmhmGBWU6NP9aw0fNPsM=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768290311&share_id=6b4b901ebe1e4c7fa8370513e5fcbb8c,,公交,,,0,121,,,,121,200,1.65,
,,已停,1.13投200,,南昌网约车即将被取代,https://www.xiaohongshu.com/explore/695f87220000000022009274?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBi141WvBzY0hkAGR3HXv2grds27aaFrlEA1HAOhBAazM=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768291952&share_id=b9e9bab3adeb489fb6352318011779f1,,公交,,,7,75,,,,82,200,2.44,
,,已停,1.14投200,,谁懂打到女司机香香车的救赎感？,https://www.xiaohongshu.com/explore/696649390000000022033297?xsec_token=ABldMmJ9slrHgO6tVhnJBBsA8-UomGH3mrYdn1a6I5DBU=&xsec_source=pc_search&source=unknown,,可选女司机,,,3,136,,,,139,200,1.44,
,,已停,1.14投200,,滴滴支持呼叫女司机啦！！,https://www.xiaohongshu.com/explore/69660537000000000a02eace?xsec_token=ABldMmJ9slrHgO6tVhnJBBsE5BlVYNMuo2oknujA57MPM=&xsec_source=pc_search&source=unknown,,可选女司机,,,0,125,,,,125,200,1.6,
,,已停,"1.14投200
1.15追500
1.16追2000
1.19追5000
1.20追2000",,打到这样的滴,https://www.xiaohongshu.com/explore/69673363000000000a02db51?xsec_token=AB4uQXQMtNu4NAMlGt4YNdQ6L4AJFjrJa8PdKStC24cIY=&xsec_source=pc_feed,,乘车体验,,,3,10161,,,,10164,9700,0.95,万赞
,,已停,1.14投200,,蛤？🤨有人坐过网约公交吗？,https://www.xiaohongshu.com/explore/6966e4c4000000000a02ed9d?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBn1B8GYR4Qfb-pPYJGOVvWwcJdWzKG3dRdDfZ_4Ij1iY=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768364070&share_id=cfde6fba5892411daf78fdee7b80197f,,公交,,,5,42,,,,47,200,4.26,
,,已停,"1.15投200
1.16追500
1.19追5000
1.20追5000",,滴滴女性友好打车,https://www.xiaohongshu.com/explore/696845f5000000000a03e667?xsec_token=ABE1OwAL6LyUm3Hsg_F8ZsibpPgviGEheCl6Co-e0HjLc=&xsec_source=pc_search&source=unknown,,可选女司机,,,1,12457,,,,12458,10700,0.86,万赞
,,已停,"1.15投200
1.16追500
1.19追2000",,网约公交车都出来了吗😂,https://www.xiaohongshu.com/explore/6968a124000000000b00902f?source=webshare&xhsshare=pc_web&xsec_token=ABzqj2vCEPChySiIo-A4R1-6l0Fn3ZnduJXUlic24FynE=&xsec_source=pc_share,,公交,,,4,2444,,,,2448,2700,1.1,千赞
,,已停,"1.21投200
1.22追1000
1.22追5000",,当我在滴滴上勾选了“女性安全”出行后...,https://www.xiaohongshu.com/explore/697027ac0000000009038a58?app_platform=ios&app_version=9.17.2&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBBOiBH5XVHSa6qJKI5kIvN477j8wjhS-dQJgl3Gn7q8Y=&author_share=1&xhsshare=WeixinSession&shareRedId=Nz0yMUhJRT83SjU5TU4zTDc0QTw0Rkc9&apptime=1768963129&share_id=eeba3e75c63e4f5a962e1981bf9e59cc,,可选女司机,,,47,4012,,,,4059,6200,1.53,千赞
,,已停,1.21投200,,合肥网约公交车,https://www.xiaohongshu.com/explore/696db3f5000000002203be65?source=webshare&xhsshare=pc_web&xsec_token=ABnNlJUZC609i20CZX1fWgaV4tsXbEswGLZTSZ1qKwCCM=&xsec_source=pc_share,,公交,,,14,92,,,,106,200,1.89,
,,已停,1.22投200,,滴滴可以选择可选女司机啦,https://www.xiaohongshu.com/explore/69704f8e000000002102bced?xsec_token=ABFFAE8J7Ad6BujWpjVCk3HuMSW0pOEtJqpb7lrBwUpEo=,,可选女司机,,,4,108,,,,112,200,1.79,
,,已停,1.22投200,,滴滴女性友好计划可以选女司机,https://www.xiaohongshu.com/explore/697024fd00000000220380e8?xsec_token=ABFFAE8J7Ad6BujWpjVCk3HkqEH0KYlYN-ZC-73DEOSYI=,,可选女司机,,,5,91,,,,96,200,2.08,
,,已停,1.23投200,,第一次坐网约公交 这个太优秀了,https://www.xiaohongshu.com/explore/69717bd9000000000b013435?source=webshare&xhsshare=pc_web&xsec_token=ABZm3BPtXD9a5Zs4XNnv7nMxJHK5VPfTtz3FCE-4a7lHY=&xsec_source=pc_share,,公交,,,0,111,,,,111,200,1.8,
,,已停,1.27投200,,滴滴上大分！,https://www.xiaohongshu.com/explore/6977525e000000001a03025b?xsec_token=ABsQLBQMqNESz28wtPnuXq47pxXPKNNt8vvMNUBSh7aSI=,,可选女司机,,,5,128,,,,133,200,1.5,
,,已停,1.28投200,,滴滴司机的松弛感,https://www.xiaohongshu.com/explore/697803e8000000002102af09?xsec_token=ABjkz-Pt4_oPfov2DOjfMH5icxXQ6XEwo4GuVkeVKRlGM=,,乘车体验,,,0,151,,,,151,200,1.32,
,,已停,1.30投200,,网约公交车！滴滴届的蜜雪冰城,https://www.xiaohongshu.com/explore/6976fc790000000022009df5?source=webshare&xhsshare=pc_web&xsec_token=ABlt_EaIj-oJQbD6d4tfvCqrq31l6BZ36rrMBJZ6tLttI=&xsec_source=pc_share,,公交,,,11,124,,,,135,200,1.48,
,,已停,1.30投200,,这个我是真想办卡！,https://www.xiaohongshu.com/explore/6976cdf900000000210331fd?source=webshare&xhsshare=pc_web&xsec_token=ABlt_EaIj-oJQbD6d4tfvCqmLsB2NGr-gKUAVF79XgJJY=&xsec_source=pc_share,,公交,,,4,160,,,,164,200,1.22,
,,已停,2.3投200,,"金华网约公交🚌咱也是坐上啦
",https://www.xiaohongshu.com/explore/69805f37000000001a022fdb?source=webshare&xhsshare=pc_web&xsec_token=ABA0pKRuRq34IIzfajcGLbqxVapK6SBop96uuTOc_uVpU=&xsec_source=pc_share,,公交,,,11,171,,,,182,200,1.1,
,,已停,2.3投200,,金华网约公交车,https://www.xiaohongshu.com/explore/6980498f000000002202dc51?source=webshare&xhsshare=pc_web&xsec_token=ABA0pKRuRq34IIzfajcGLbq2p2Nxn2zZbm2-aB3n8lmfg=&xsec_source=pc_share,,公交,,,10,116,,,,126,200,1.59,
,,已停,2.3投200,,金华滴滴网约公交,https://www.xiaohongshu.com/explore/697f4e800000000022030e94?source=webshare&xhsshare=pc_web&xsec_token=AB3KoMqJ0Lf1VDtuxC-Cj5x1tx38ttBL1WcqWcsUBFbI8=&xsec_source=pc_share,,公交,,,10,62,,,,72,200,2.78,
,,已停,2.3投200,,我的公交专车司机来接我啦,https://www.xiaohongshu.com/explore/697f0ff8000000000a02e298?source=webshare&xhsshare=pc_web&xsec_token=AB3KoMqJ0Lf1VDtuxC-Cj5x7w-biqKxfbiOfi1sYuil2c=&xsec_source=pc_share,,公交,,,21,138,,,,159,200,1.26,
,,已停,2.5投200,,滴滴可以优先女司机,https://www.xiaohongshu.com/explore/69831916000000002103319e?xsec_token=ABxlLTtX-TNoCqnwleReymuJmAltHx9m-pS_x72jw984k=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,1,124,,,,125,200,1.6,
,,已停,2.5投200,,滴滴可以选女司机可太棒了,https://www.xiaohongshu.com/explore/6982e9610000000022008a67?xsec_token=ABLSzz0Pzom_IUo-fmks8DjEEoU-WnGm20adFyFSYmO9Y=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,3,,,,,3,,66.67,无法投
,,已停,2.5投200,,滴滴可以优先呼叫女司机啦,https://www.xiaohongshu.com/explore/6982e54f000000001a03242e?xsec_token=ABLSzz0Pzom_IUo-fmks8DjMsxAejmVTcJUWMOkkFDJ04=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,5,149,,,,154,200,1.3,
,,已停,2.5投200,,大力支持滴滴女性友好计划,https://www.xiaohongshu.com/explore/6981dff5000000000a03dc1a?xsec_token=ABw29fZQrAW_PIwXwmamKaOlbagyzCaphYEMmUPx-YTCY=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,80,61,,,,141,200,1.42,
,,已停,2.5投200,,我也可喜欢女司机啦！,https://www.xiaohongshu.com/explore/698090dd00000000220096f0?xsec_token=ABTrVhRsImkpg3ZMcNe25wFVfnQM1eWJnK9xo8pgvzbsg=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,7,86,,,,93,200,2.15,
,,已停,2.5投200,,这个世界需要更多的女司机！！！,https://www.xiaohongshu.com/explore/697c8940000000001a025695?xsec_token=AB7wM8cLYDSx-at0rs4t_eJnpjwSJ_uppTJebOvkOVJkI=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,473,123,,,,596,200,0.34,
,,已停,2.5投200,,立刻选择优先女司机,https://www.xiaohongshu.com/explore/697ff735000000002801efa7?xsec_token=AB-gl7ulWJoR0Fbg3f7TabHGreGKFGo_tZae0cw7br2B8=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,6,231,,,,237,200,0.84,
,,已停,2.5投200,,女司机永远让我安心,https://www.xiaohongshu.com/explore/697f2579000000000e00f6e4?xsec_token=AB-gl7ulWJoR0Fbg3f7TabHI4v_tbylOxUXG1g5kX9ZH8=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,1,160,,,,161,200,1.24,
,,已停,2.5投200,,很高兴南京作为滴滴女性司机优先的试点城市,https://www.xiaohongshu.com/explore/697e9dc4000000001a032405?xsec_token=ABJznBG5-qRO4febEHXWJLy0t64u0d7Kdcr_K9iQ6TEHY=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,8,287,,,,295,200,0.68,
,,已停,2.5投200,,感谢滴滴推出的女性友好计划🧡,https://www.xiaohongshu.com/explore/697daabe000000000b009942?xsec_token=AB8Pbc-tqxjN_8kffghnApMAoFH1mKSHDIKNmoVPM0hQw=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,13,,,,,13,,0,无法投
,,已停,2.5投200,,可以选女司机好幸福,https://www.xiaohongshu.com/explore/697da08300000000280221bb?xsec_token=AB8Pbc-tqxjN_8kffghnApMEu4c1Sr6wbTvllEWePgFXM=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,5,,,,,5,,0,无法投
,,已停,2.5投200,,大家都是怎么设置滴滴女性友好的啊,https://www.xiaohongshu.com/explore/697c82d8000000002202dbf1?xsec_token=AB7wM8cLYDSx-at0rs4t_eJp1ERLVpq0gRGCjrH7hP1EA=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,0,149,,,,149,200,1.34,
,,已停,2.9投200,,滴滴女性友好计划真好,https://www.xiaohongshu.com/explore/69882ca70000000015022b3d?xsec_token=ABKpxO8kbjoRqXc7aCaIT9WYkY_03XQOpVy4uQFUnDYKQ=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,2,77,,,,79,200,2.53,
,,已停,2.9投200,,滴滴好样的！可以设置全天优选女司机了！,https://www.xiaohongshu.com/explore/69892510000000000c037a45?xsec_token=ABFP9FIsuLe-pjQHZTo0bM5JFhmn7LVQup4pi7h0IE4FE=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,3,38,,,,41,200,4.88,
,,已停,2.9投200,,除了专车，如何打到无烟车的小 tips,https://www.xiaohongshu.com/explore/6987ff23000000001a02cbc3?xsec_token=AB5GJV3Ej7SSd9EVp9uWXjZdDN-oK84x0R3xfPyxCKEEI=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,11,98,,,,109,200,1.83,
,,已停,2.9投200,,滴滴女性友好计划！好！,https://www.xiaohongshu.com/explore/6985bf2d000000000e03cc1f?xsec_token=AB2Ig_XpDWRR0hGffudLQpIpqmb9EeE4j4PRzHR-pwDzg=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,29,,,,,29,,0,无法投
,,已停,2.9投200,,吹爆滴滴女乘客可以优先选女司机,https://www.xiaohongshu.com/explore/69857d00000000000b010cbb?xsec_token=AB2Ig_XpDWRR0hGffudLQpItc5m3aVkYGA3bzy06e8x2A=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,26,209,,,,235,200,0.85,
,,已停,2.9投200,,女生深夜打车总算不心虚了，被这个功能给暖,https://www.xiaohongshu.com/explore/698421670000000022023b38?xsec_token=ABZ6xRaHQxAimRqkfr2Spb4SpHh8Cg-VL7KK4ZU9GPGrs=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,14,170,,,,184,200,1.09,
,,已停,2.9投200,,#网约车 #滴滴出行 #手握方向盘的女孩,https://www.xiaohongshu.com/explore/6983535a0000000021030088?xsec_token=ABxlLTtX-TNoCqnwleReymuMlQXEgjqlbAEJeVKAwpzP8=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,5,125,,,,130,200,1.54,
,,已停,2.9投200,,滴滴可以选女司机可太棒了,https://www.xiaohongshu.com/explore/6982e9610000000022008a67?xsec_token=ABLSzz0Pzom_IUo-fmks8DjFqnTUx75WEsGkcWUY_PTrI=&xsec_source=pc_search&source=web_explore_feed,,可选女司机,,,3,,,,,3,,0,无法投
,,已停,2.11投200,,带娃打卡网约公交车，橙色的小巴士很亮眼,https://www.xiaohongshu.com/explore/698865d1000000000c03640a?source=webshare&xhsshare=pc_web&xsec_token=ABHTN20y87nxat_PnKWx3gJngoKcfNHPKkI1EjkYKNhUY=&xsec_source=pc_share,,公交,,,7,95,,,,102,200,1.96,
,,已停,2.11投200,,南昌交通太方便！,https://www.xiaohongshu.com/explore/698c2f63000000001a035ea1?source=webshare&xhsshare=pc_web&xsec_token=ABkg-1abHqQiP6r_wuY6TScupI4LqPZ-KKm62tItaA6Xs=&xsec_source=pc_share,,公交,,,4,74,,,,78,200,2.56,
2026-02-28 00:00:00,2026-03-07 00:00:00,停投,,,🈚️,https://www.xiaohongshu.com/explore/69a1791c000000001d010e81?source=webshare&xhsshare=pc_web&xsec_token=ABUfS-RvMXp__59TETeHFmyVM5vzKBFdGWn4rXtF_Kl7w=&xsec_source=pc_share,69a1791c000000001d010e81,产品力,网约公交,"3.1投放200元
3.2投放1000元",8,896,,,,985,1200.64,1.22,
2026-03-05 00:00:00,2026-03-12 00:00:00,停投,,,🌸打车遇到的司机姐姐 比春天还治愈,https://www.xiaohongshu.com/explore/69a8e38d000000001503a3a7?xsec_token=ABti5UUL7otvHinRdQXMziCKQKwU9CJCzBPyja9fO64iU=,69a8e38d000000001503a3a7,司机,司乘温暖,"3.5投放9.95元
3.6投放13.18元
3.7投放25.48元
3.8投放34.19元",4,27,,,,28,82.8,2.96,
2026-03-10 00:00:00,2026-03-17 00:00:00,停投,,,现在的专车也太卷了吧！,https://www.xiaohongshu.com/explore/69affbc10000000015032a56?xsec_token=ABcOPnb0grNW1USjMZaatAj7Iqr_BNA86ssQuWCiqrv6o=,69affbc10000000015032a56,产品力,专车/豪华车,"3.11投放54.00元
3.12投放135.91元
3.13投放140.52元
3.14投放65.88元",1,201,,,,244,396.31,1.62,
2026-03-10 00:00:00,2026-03-17 00:00:00,停投,,,女性友好,https://www.xiaohongshu.com/explore/69b01dc1000000001b01ed03?xsec_token=ABxcM-eyF_j3KzqyE-f6D92XpYQ37jZYU5liR-c3cd3uM=,69b01dc1000000001b01ed03,产品力,女性友好计划,3.11投放202.14元,1,117,,,,119,202.14,1.7,
2026-03-12 00:00:00,2026-03-19 00:00:00,停投,,,所有人立刻加入滴滴女性友好计划！,https://www.xiaohongshu.com/explore/69b21bd0000000001d0138fd?xsec_token=ABdoX6O_JHSaJWE4cS8BMj_B0N9KtS6x8Cvx9-ApbL_mk=,69b21bd0000000001d0138fd,产品力,女性友好计划,3.13投放211.14元,47,143,,,,1915,211.14,0.11,"该笔记在投放中因社区规则被判定为有风险笔记,已暂停投放。"
2026-03-13 00:00:00,2026-03-20 00:00:00,停投,,,滴滴宠物快车分享🧐,https://www.xiaohongshu.com/explore/69b37a8a000000001d024cd1?xsec_token=ABHvyKgHL3h-usA6hmqw2VubRDcm0NysHrBTztEpztnkg=&xsec_source=pc_search&source=web_explore_feed,69b37a8a000000001d024cd1,产品力,宠物出行,"3.13投放51.60元
3.14投放150.14元",2,110,,,,112,201.74,1.8,
2026-03-16 00:00:00,2026-03-23 00:00:00,停投,,,女司机真好啊我要坐一辈子女司机的车,https://www.xiaohongshu.com/explore/69b792a9000000001a02afc2,69b792a9000000001a02afc2,司机,女司机,"3.18投放201.48元
3.19投放523.21元",104,448,,,,546,724.69,1.33,
2026-03-18 00:00:00,2026-03-25 00:00:00,停投,,,滴滴的这个优先女司机🌸 功能 好评,https://www.xiaohongshu.com/explore/69b97f4b000000001a025f04?xsec_token=AB98dphKY-NFEQethyEEoheEt7QrFzcolAAGr0aSCjQ38=,69b97f4b000000001a025f04,产品力,女性友好计划,"3.18投放34.12元
3.19投放326.13元
3.20投放331.12元",3,366,,,,370,691.37,1.87,
2026-03-19 00:00:00,2026-03-26 00:00:00,停投,,,可以选女司机了,https://www.xiaohongshu.com/explore/69bb56c40000000022000ad3?xsec_token=ABEmVnt27AS9ByoQNUMpJIsCsnFl5yxBFb2Ml8asGLKCU=,69bb56c40000000022000ad3,产品力,女性友好计划,3.19投放189.49元,3,99,,,,105,189.49,1.8,
2026-03-16 00:00:00,2026-03-23 00:00:00,停投,,,来横店，滴滴司机都是NPC,https://www.xiaohongshu.com/explore/69b54315000000001a020481?xsec_token=WBG6lqhuyR6fLntc1H_asxiMeKjgfQBcXNucgSOOaSDfw=&xsec_source=pc_ad,69b54315000000001a020481,司机,司乘互动,3.19投放200.23元,5,113,,,,115,200.23,1.74,
2026-03-16 00:00:00,2026-03-23 00:00:00,停投,,,女性友好是说走就走的保障,https://www.xiaohongshu.com/explore/69b65943000000001a027ac3?xsec_token=WB34nkkdslWtIDvgdFF-Q5Gt71epM-Osm8_16SCJ6drVM=&xsec_source=pc_ad,69b65943000000001a027ac3,产品力,女性友好计划,3.19投放202.10元,4,117,,,,120,202.1,1.68,
2026-03-16 00:00:00,2026-03-23 00:00:00,停投,,,当你坐进一辆满是鲜花的滴滴,https://www.xiaohongshu.com/explore/69b6b3a0000000002202ae4c?xsec_token=WB34nkkdslWtIDvgdFF-Q5GswMdhDnOdwCTYgr8DPkr58=&xsec_source=pc_ad,69b6b3a0000000002202ae4c,车内,司机自发装置,3.20投放200.90元,2,104,,,,97,200.9,2.07,
2026-03-15 00:00:00,2026-03-22 00:00:00,停投,,,滴滴好香,https://www.xiaohongshu.com/explore/69b5f9a00000000023005fd7?xsec_token=WBG6lqhuyR6fLntc1H_asxiCHcTvXPimu_fPLdomMG6Gk=&xsec_source=pc_ad,69b5f9a00000000023005fd7,车内,香卡,"3.19投放55.56元
3.20投放146.06元",2,113,,,,103,201.62,1.96,
2026-03-17 00:00:00,2026-03-24 00:00:00,停投,,,美好事物会随时出现,https://www.xiaohongshu.com/explore/69b7f81a000000002200f24c?source=webshare&xhsshare=pc_web&xsec_token=ABclzOmwReMyydPW2joQTjQi73LlGJxUABkBlWR3YOxbA=&xsec_source=pc_share,69b7f81a000000002200f24c,司机,司乘温暖,3.22投放203.98元,0,112,,,,104,203.98,1.96,
2026-03-22 00:00:00,2026-03-29 00:00:00,停投,,,想给司机师傅加鸡腿,https://www.xiaohongshu.com/explore/69bfd8c8000000001f000976?xsec_token=ABPOYeXkqi8W0XzpKpSvnlc3tulkZTnNxw_hzXIKDIGdc=,69bfd8c8000000001f000976,司机,司机服务,3.23投放203.19元,2,107,,,,104,203.19,1.95,
2026-03-20 00:00:00,2026-03-27 00:00:00,停投,,,100个滴滴司机的故事-你有在认真生活吗,https://www.xiaohongshu.com/explore/69bccc140000000023005ca2?xsec_token=ABPMsgV-vpoJ3-Y7OMGmYctFfa8oNbS5iMzmXB7fSGbuA=,69bccc140000000023005ca2,司机,司乘温暖,"3.24投放4.77元
3.26投放6.05元",1,4,,,,6,10.87,1.81,
