发布日期,加热渠道,一级分类,二级分类,标签,标题,投前互动量,投后互动量,投放后点赞,投放后收藏,投放后评论,投放后分享,总互动量,总投放金额,综合CPE,链接,笔记ID,备注
2026-01-20,口碑通,公交,,,合肥网约公交车,14,92,,,,,106,200,1.89,https://www.xiaohongshu.com/explore/696db3f5000000002203be65?source=webshare&xhsshare=pc_web&xsec_token=ABnNlJUZC609i20CZX1fWgaV4tsXbEswGLZTSZ1qKwCCM=&xsec_source=pc_share,696db3f5000000002203be65,
2026-01-21,口碑通,可选女司机,,,滴滴可以选择可选女司机啦,4,108,,,,,112,200,1.79,https://www.xiaohongshu.com/explore/69704f8e000000002102bced?xsec_token=ABFFAE8J7Ad6BujWpjVCk3HuMSW0pOEtJqpb7lrBwUpEo=,69704f8e000000002102bced,
2026-01-21,口碑通,可选女司机,,,滴滴女性友好计划可以选女司机,5,91,,,,,96,200,2.08,https://www.xiaohongshu.com/explore/697024fd00000000220380e8?xsec_token=ABFFAE8J7Ad6BujWpjVCk3HkqEH0KYlYN-ZC-73DEOSYI=,697024fd00000000220380e8,
2026-01-22,口碑通,公交,,,第一次坐网约公交 这个太优秀了,0,111,,,,,111,200,1.8,https://www.xiaohongshu.com/explore/69717bd9000000000b013435?source=webshare&xhsshare=pc_web&xsec_token=ABZm3BPtXD9a5Zs4XNnv7nMxJHK5VPfTtz3FCE-4a7lHY=&xsec_source=pc_share,69717bd9000000000b013435,
2026-01-26,口碑通,可选女司机,,,滴滴上大分！,5,128,,,,,133,200,1.5,https://www.xiaohongshu.com/explore/6977525e000000001a03025b?xsec_token=ABsQLBQMqNESz28wtPnuXq47pxXPKNNt8vvMNUBSh7aSI=,6977525e000000001a03025b,
2026-01-27,口碑通,乘车体验,,,滴滴司机的松弛感,0,151,,,,,151,200,1.32,https://www.xiaohongshu.com/explore/697803e8000000002102af09?xsec_token=ABjkz-Pt4_oPfov2DOjfMH5icxXQ6XEwo4GuVkeVKRlGM=,697803e8000000002102af09,
2026-01-29,口碑通,公交,,,网约公交车！滴滴届的蜜雪冰城,11,124,,,,,135,200,1.48,https://www.xiaohongshu.com/explore/6976fc790000000022009df5?source=webshare&xhsshare=pc_web&xsec_token=ABlt_EaIj-oJQbD6d4tfvCqrq31l6BZ36rrMBJZ6tLttI=&xsec_source=pc_share,6976fc790000000022009df5,
2026-01-29,口碑通,公交,,,这个我是真想办卡！,4,160,,,,,164,200,1.22,https://www.xiaohongshu.com/explore/6976cdf900000000210331fd?source=webshare&xhsshare=pc_web&xsec_token=ABlt_EaIj-oJQbD6d4tfvCqmLsB2NGr-gKUAVF79XgJJY=&xsec_source=pc_share,6976cdf900000000210331fd,
2026-02-02,口碑通,公交,,,金华网约公交🚌咱也是坐上啦,11,171,,,,,182,200,1.1,https://www.xiaohongshu.com/explore/69805f37000000001a022fdb?source=webshare&xhsshare=pc_web&xsec_token=ABA0pKRuRq34IIzfajcGLbqxVapK6SBop96uuTOc_uVpU=&xsec_source=pc_share,69805f37000000001a022fdb,
2026-02-02,口碑通,公交,,,金华网约公交车,10,116,,,,,126,200,1.59,https://www.xiaohongshu.com/explore/6980498f000000002202dc51?source=webshare&xhsshare=pc_web&xsec_token=ABA0pKRuRq34IIzfajcGLbq2p2Nxn2zZbm2-aB3n8lmfg=&xsec_source=pc_share,6980498f000000002202dc51,
2026-02-02,口碑通,公交,,,金华滴滴网约公交,10,62,,,,,72,200,2.78,https://www.xiaohongshu.com/explore/697f4e800000000022030e94?source=webshare&xhsshare=pc_web&xsec_token=AB3KoMqJ0Lf1VDtuxC-Cj5x1tx38ttBL1WcqWcsUBFbI8=&xsec_source=pc_share,697f4e800000000022030e94,
2026-02-02,口碑通,公交,,,我的公交专车司机来接我啦,21,138,,,,,159,200,1.26,https://www.xiaohongshu.com/explore/697f0ff8000000000a02e298?source=webshare&xhsshare=pc_web&xsec_token=AB3KoMqJ0Lf1VDtuxC-Cj5x7w-biqKxfbiOfi1sYuil2c=&xsec_source=pc_share,697f0ff8000000000a02e298,
2026-02-04,口碑通,可选女司机,,,滴滴可以优先女司机,1,124,,,,,125,200,1.6,https://www.xiaohongshu.com/explore/69831916000000002103319e?xsec_token=ABxlLTtX-TNoCqnwleReymuJmAltHx9m-pS_x72jw984k=&xsec_source=pc_search&source=web_explore_feed,69831916000000002103319e,
2026-02-04,口碑通,可选女司机,,,滴滴可以优先呼叫女司机啦,5,149,,,,,154,200,1.3,https://www.xiaohongshu.com/explore/6982e54f000000001a03242e?xsec_token=ABLSzz0Pzom_IUo-fmks8DjMsxAejmVTcJUWMOkkFDJ04=&xsec_source=pc_search&source=web_explore_feed,6982e54f000000001a03242e,
2026-02-04,口碑通,可选女司机,,,大力支持滴滴女性友好计划,80,61,,,,,141,200,1.42,https://www.xiaohongshu.com/explore/6981dff5000000000a03dc1a?xsec_token=ABw29fZQrAW_PIwXwmamKaOlbagyzCaphYEMmUPx-YTCY=&xsec_source=pc_search&source=web_explore_feed,6981dff5000000000a03dc1a,
2026-02-04,口碑通,可选女司机,,,我也可喜欢女司机啦！,7,86,,,,,93,200,2.15,https://www.xiaohongshu.com/explore/698090dd00000000220096f0?xsec_token=ABTrVhRsImkpg3ZMcNe25wFVfnQM1eWJnK9xo8pgvzbsg=&xsec_source=pc_search&source=web_explore_feed,698090dd00000000220096f0,
2026-02-04,口碑通,可选女司机,,,这个世界需要更多的女司机！！！,473,123,,,,,596,200,0.34,https://www.xiaohongshu.com/explore/697c8940000000001a025695?xsec_token=AB7wM8cLYDSx-at0rs4t_eJnpjwSJ_uppTJebOvkOVJkI=&xsec_source=pc_search&source=web_explore_feed,697c8940000000001a025695,
2026-02-04,口碑通,可选女司机,,,立刻选择优先女司机,6,231,,,,,237,200,0.84,https://www.xiaohongshu.com/explore/697ff735000000002801efa7?xsec_token=AB-gl7ulWJoR0Fbg3f7TabHGreGKFGo_tZae0cw7br2B8=&xsec_source=pc_search&source=web_explore_feed,697ff735000000002801efa7,
2026-02-04,口碑通,可选女司机,,,女司机永远让我安心,1,160,,,,,161,200,1.24,https://www.xiaohongshu.com/explore/697f2579000000000e00f6e4?xsec_token=AB-gl7ulWJoR0Fbg3f7TabHI4v_tbylOxUXG1g5kX9ZH8=&xsec_source=pc_search&source=web_explore_feed,697f2579000000000e00f6e4,
2026-02-04,口碑通,可选女司机,,,很高兴南京作为滴滴女性司机优先的试点城市,8,287,,,,,295,200,0.68,https://www.xiaohongshu.com/explore/697e9dc4000000001a032405?xsec_token=ABJznBG5-qRO4febEHXWJLy0t64u0d7Kdcr_K9iQ6TEHY=&xsec_source=pc_search&source=web_explore_feed,697e9dc4000000001a032405,
2026-02-04,口碑通,可选女司机,,,大家都是怎么设置滴滴女性友好的啊,0,149,,,,,149,200,1.34,https://www.xiaohongshu.com/explore/697c82d8000000002202dbf1?xsec_token=AB7wM8cLYDSx-at0rs4t_eJp1ERLVpq0gRGCjrH7hP1EA=&xsec_source=pc_search&source=web_explore_feed,697c82d8000000002202dbf1,
2026-02-08,口碑通,可选女司机,,,滴滴女性友好计划真好,2,77,,,,,79,200,2.53,https://www.xiaohongshu.com/explore/69882ca70000000015022b3d?xsec_token=ABKpxO8kbjoRqXc7aCaIT9WYkY_03XQOpVy4uQFUnDYKQ=&xsec_source=pc_search&source=web_explore_feed,69882ca70000000015022b3d,
2026-02-08,口碑通,可选女司机,,,滴滴好样的！可以设置全天优选女司机了！,3,38,,,,,41,200,4.88,https://www.xiaohongshu.com/explore/69892510000000000c037a45?xsec_token=ABFP9FIsuLe-pjQHZTo0bM5JFhmn7LVQup4pi7h0IE4FE=&xsec_source=pc_search&source=web_explore_feed,69892510000000000c037a45,
2026-02-08,口碑通,可选女司机,,,除了专车，如何打到无烟车的小 tips,11,98,,,,,109,200,1.83,https://www.xiaohongshu.com/explore/6987ff23000000001a02cbc3?xsec_token=AB5GJV3Ej7SSd9EVp9uWXjZdDN-oK84x0R3xfPyxCKEEI=&xsec_source=pc_search&source=web_explore_feed,6987ff23000000001a02cbc3,
2026-02-08,口碑通,可选女司机,,,吹爆滴滴女乘客可以优先选女司机,26,209,,,,,235,200,0.85,https://www.xiaohongshu.com/explore/69857d00000000000b010cbb?xsec_token=AB2Ig_XpDWRR0hGffudLQpItc5m3aVkYGA3bzy06e8x2A=&xsec_source=pc_search&source=web_explore_feed,69857d00000000000b010cbb,
2026-02-08,口碑通,可选女司机,,,女生深夜打车总算不心虚了，被这个功能给暖,14,170,,,,,184,200,1.09,https://www.xiaohongshu.com/explore/698421670000000022023b38?xsec_token=ABZ6xRaHQxAimRqkfr2Spb4SpHh8Cg-VL7KK4ZU9GPGrs=&xsec_source=pc_search&source=web_explore_feed,698421670000000022023b38,
2026-02-08,口碑通,可选女司机,,,#网约车 #滴滴出行 #手握方向盘的女孩,5,125,,,,,130,200,1.54,https://www.xiaohongshu.com/explore/6983535a0000000021030088?xsec_token=ABxlLTtX-TNoCqnwleReymuMlQXEgjqlbAEJeVKAwpzP8=&xsec_source=pc_search&source=web_explore_feed,6983535a0000000021030088,
2026-02-10,口碑通,公交,,,带娃打卡网约公交车，橙色的小巴士很亮眼,7,95,,,,,102,200,1.96,https://www.xiaohongshu.com/explore/698865d1000000000c03640a?source=webshare&xhsshare=pc_web&xsec_token=ABHTN20y87nxat_PnKWx3gJngoKcfNHPKkI1EjkYKNhUY=&xsec_source=pc_share,698865d1000000000c03640a,
2026-02-10,口碑通,公交,,,南昌交通太方便！,4,74,,,,,78,200,2.56,https://www.xiaohongshu.com/explore/698c2f63000000001a035ea1?source=webshare&xhsshare=pc_web&xsec_token=ABkg-1abHqQiP6r_wuY6TScupI4LqPZ-KKm62tItaA6Xs=&xsec_source=pc_share,698c2f63000000001a035ea1,
2026-02-28,口碑通,产品力,网约公交,,🈚️,8,896,,,,,985,1200.64,1.22,https://www.xiaohongshu.com/explore/69a1791c000000001d010e81?source=webshare&xhsshare=pc_web&xsec_token=ABUfS-RvMXp__59TETeHFmyVM5vzKBFdGWn4rXtF_Kl7w=&xsec_source=pc_share,69a1791c000000001d010e81,
2026-03-05,合作广场,司机,司乘温暖,,🌸打车遇到的司机姐姐 比春天还治愈,4,27,,,,,28,82.8,2.96,https://www.xiaohongshu.com/explore/69a8e38d000000001503a3a7?xsec_token=ABti5UUL7otvHinRdQXMziCKQKwU9CJCzBPyja9fO64iU=,69a8e38d000000001503a3a7,
2026-03-10,合作广场,产品力,专车/豪华车,,现在的专车也太卷了吧！,1,201,,,,,244,396.31,1.62,https://www.xiaohongshu.com/explore/69affbc10000000015032a56?xsec_token=ABcOPnb0grNW1USjMZaatAj7Iqr_BNA86ssQuWCiqrv6o=,69affbc10000000015032a56,
2026-03-10,合作广场,产品力,女性友好计划,,女性友好,1,117,,,,,119,202.14,1.7,https://www.xiaohongshu.com/explore/69b01dc1000000001b01ed03?xsec_token=ABxcM-eyF_j3KzqyE-f6D92XpYQ37jZYU5liR-c3cd3uM=,69b01dc1000000001b01ed03,
2026-03-12,合作广场,产品力,女性友好计划,,所有人立刻加入滴滴女性友好计划！,47,143,,,,,1915,211.14,0.11,https://www.xiaohongshu.com/explore/69b21bd0000000001d0138fd?xsec_token=ABdoX6O_JHSaJWE4cS8BMj_B0N9KtS6x8Cvx9-ApbL_mk=,69b21bd0000000001d0138fd,"该笔记在投放中因社区规则被判定为有风险笔记,已暂停投放。"
2026-03-13,合作广场,产品力,宠物出行,,滴滴宠物快车分享🧐,2,110,,,,,112,201.74,1.8,https://www.xiaohongshu.com/explore/69b37a8a000000001d024cd1?xsec_token=ABHvyKgHL3h-usA6hmqw2VubRDcm0NysHrBTztEpztnkg=&xsec_source=pc_search&source=web_explore_feed,69b37a8a000000001d024cd1,
2026-03-16,合作广场,司机,女司机,,女司机真好啊我要坐一辈子女司机的车,104,448,,,,,546,724.69,1.33,https://www.xiaohongshu.com/explore/69b792a9000000001a02afc2,69b792a9000000001a02afc2,
2026-03-18,合作广场,产品力,女性友好计划,,滴滴的这个优先女司机🌸 功能 好评,3,366,,,,,370,691.37,1.87,https://www.xiaohongshu.com/explore/69b97f4b000000001a025f04?xsec_token=AB98dphKY-NFEQethyEEoheEt7QrFzcolAAGr0aSCjQ38=,69b97f4b000000001a025f04,
2026-03-19,合作广场,产品力,女性友好计划,,可以选女司机了,3,99,,,,,105,189.49,1.8,https://www.xiaohongshu.com/explore/69bb56c40000000022000ad3?xsec_token=ABEmVnt27AS9ByoQNUMpJIsCsnFl5yxBFb2Ml8asGLKCU=,69bb56c40000000022000ad3,
2026-03-16,合作广场,司机,司乘互动,,来横店，滴滴司机都是NPC,5,113,,,,,115,200.23,1.74,https://www.xiaohongshu.com/explore/69b54315000000001a020481?xsec_token=WBG6lqhuyR6fLntc1H_asxiMeKjgfQBcXNucgSOOaSDfw=&xsec_source=pc_ad,69b54315000000001a020481,
2026-03-16,合作广场,产品力,女性友好计划,,女性友好是说走就走的保障,4,117,,,,,120,202.1,1.68,https://www.xiaohongshu.com/explore/69b65943000000001a027ac3?xsec_token=WB34nkkdslWtIDvgdFF-Q5Gt71epM-Osm8_16SCJ6drVM=&xsec_source=pc_ad,69b65943000000001a027ac3,
2026-03-16,合作广场,车内,司机自发装置,,当你坐进一辆满是鲜花的滴滴,2,104,,,,,97,200.9,2.07,https://www.xiaohongshu.com/explore/69b6b3a0000000002202ae4c?xsec_token=WB34nkkdslWtIDvgdFF-Q5GswMdhDnOdwCTYgr8DPkr58=&xsec_source=pc_ad,69b6b3a0000000002202ae4c,
2026-03-15,合作广场,车内,香卡,,滴滴好香,2,113,,,,,103,201.62,1.96,https://www.xiaohongshu.com/explore/69b5f9a00000000023005fd7?xsec_token=WBG6lqhuyR6fLntc1H_asxiCHcTvXPimu_fPLdomMG6Gk=&xsec_source=pc_ad,69b5f9a00000000023005fd7,
2026-03-17,合作广场,司机,司乘温暖,,美好事物会随时出现,0,112,,,,,104,203.98,1.96,https://www.xiaohongshu.com/explore/69b7f81a000000002200f24c?source=webshare&xhsshare=pc_web&xsec_token=ABclzOmwReMyydPW2joQTjQi73LlGJxUABkBlWR3YOxbA=&xsec_source=pc_share,69b7f81a000000002200f24c,
2026-03-22,合作广场,司机,司机服务,,想给司机师傅加鸡腿,2,107,,,,,104,203.19,1.95,https://www.xiaohongshu.com/explore/69bfd8c8000000001f000976?xsec_token=ABPOYeXkqi8W0XzpKpSvnlc3tulkZTnNxw_hzXIKDIGdc=,69bfd8c8000000001f000976,
2026-03-20,合作广场,司机,司乘温暖,,100个滴滴司机的故事-你有在认真生活吗,1,4,,,,,6,10.87,1.81,https://www.xiaohongshu.com/explore/69bccc140000000023005ca2?xsec_token=ABPMsgV-vpoJ3-Y7OMGmYctFfa8oNbS5iMzmXB7fSGbuA=,69bccc140000000023005ca2,
2026-03-22,合作广场,产品力,女性友好计划,,女生打车刚需：优先女司机,0,112,,,,,101,199.63,1.98,https://www.xiaohongshu.com/explore/69bea7b60000000022000a56?xsec_token=ABwo9qQXRpr8gwjGe71zKGiIbZTXCC3jsJzYLpGUVfWqU=,69bea7b60000000022000a56,
2026-03-23,合作广场,产品力,女性友好计划,,不想再打到臭车？快去打开🚗女性友好模式,4,106,,,,,108,198.75,1.84,https://www.xiaohongshu.com/explore/69bf60530000000028008789?xsec_token=ABPOYeXkqi8W0XzpKpSvnlc8_DUDXpKtJIVGp7EPV1k3k=,69bf60530000000028008789,
2026-03-22,合作广场,产品力,女性友好计划,,滴滴可以选女司机了！,4,119,,,,,119,204.28,1.72,https://www.xiaohongshu.com/explore/69c00ef00000000023024dd2?xsec_token=AB5J6D-5Z2lrH4vToiJjqGe12agNkuVAzyVlUHOHgY1vI=,69c00ef00000000023024dd2,
2026-03-23,合作广场,产品力,叫车快,,这就是滴滴特快的速度！👍,2,115,,,,,110,204.36,1.86,https://www.xiaohongshu.com/explore/69c015000000000023015743?xsec_token=AB5J6D-5Z2lrH4vToiJjqGexDIEVUrPyA0PmM5NK230dQ=,69c015000000000023015743,
2026-03-24,合作广场,产品力,AI叫车/AI小滴,,滴滴这个AI叫车PM出来挨夸,1,109,,,,,103,203.18,1.97,https://www.xiaohongshu.com/explore/69c203f7000000002102fd4f?xsec_token=ABqcgmRylZh1W59G1mu8qab42ivyejOGRLcUJ0quwfVl8=,69c203f7000000002102fd4f,
2026-03-25,合作广场,司机,司机服务,,感谢滴滴打车😘,2,29,,,,,26,62.54,2.41,https://www.xiaohongshu.com/explore/69c33b140000000021004e52?xsec_token=ABdpONJOjt_de_peMQG2PK03LflFSQyqpNIkh1iKCxZOs=,69c33b140000000021004e52,
2026-03-25,合作广场,司机,司乘温暖,,凌晨三点，被一束温暖的光接走了🌟,4,108,,,,,119,203.41,1.71,https://www.xiaohongshu.com/explore/69c3c7bf0000000022027d94?xsec_token=ABdpONJOjt_de_peMQG2PK04P2ZS2XxO8KgAIcCQqSi-s=,69c3c7bf0000000022027d94,
