发布时间,笔记标题,笔记链接,笔记内容,点赞量,收藏量,评论量,分享量,互动量,博主昵称,概括,内容类型,正负向,业务线,渠道类型,具体产品/场景,笔记ID,是否剔除,是否剔除.输出结果
2026-06-14 10:46:53,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7651077130290200741#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",72,0,29,0,101,锦远留香,宣传滴滴清凉好服务及好服务有好回报品牌活动,地广/活动,正向,品牌,抖音,品牌,7651077130290200741,,
2026-06-16 14:44:25,滴滴夏季香卡小乘凉好服务有回报（九） #滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651880512298328667#ocr,滴滴夏季香卡小乘凉好服务有回报（九） #滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,676,0,26,1,703,湖南长沙炫乐哥,滴滴夏季香卡活动宣传，强调好服务有回报,车内,正向,品牌,抖音,香卡,7651880512298328667,,
2026-06-16 16:19:06,#滴滴夏季香卡#滴滴夏日小乘凉#滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651904913262726810#ocr,#滴滴夏季香卡#滴滴夏日小乘凉#滴滴好服务有回报,66,0,7,0,73,叶秋,视频宣传滴滴夏季香卡及夏日小乘凉活动，强调好服务有回报,产品力,正向,网约车,抖音,香卡,7651904913262726810,,
2026-06-17 05:37:47,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652110711699481066#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",32,0,43,0,75,👉故乡的云👈,用户发布带有滴滴夏季香卡相关话题标签的内容,车内,正向,网约车,抖音,香卡,7652110711699481066,,
2026-06-16 21:43:56,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651988622472018021#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",81,0,16,0,97,草堂先生,推广滴滴夏季香卡及夏日乘凉活动，宣传好服务有回报理念,地广/活动,正向,品牌,抖音,香卡,7651988622472018021,,
2026-06-16 19:58:13,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651961377666876836#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",84,0,26,0,110,刘哥,用户发布滴滴夏季香卡相关话题内容,产品力,正向,品牌,抖音,香卡,7651961377666876836,,
2026-06-16 10:28:06,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814460050397297#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",61,0,23,0,84,沉默是金,滴滴夏季香卡活动宣传,地广/活动,正向,品牌,抖音,香卡,7651814460050397297,,
2026-06-16 21:39:44,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651987539872422330#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",80,0,14,0,94,草堂先生,推广滴滴夏季香卡活动，宣传好服务有回报理念,产品力,正向,网约车,抖音,香卡,7651987539872422330,,
2026-06-17 06:54:49,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652130577612691318#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",79,0,26,0,105,yzY,滴滴夏季香卡及夏日乘凉活动的宣传,产品力,正向,网约车,抖音,香卡,7652130577612691318,,
2026-06-17 08:59:30,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652162710582616802#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",88,0,31,0,119,快乐的飞鸟,宣传滴滴夏季香卡活动,地广/活动,正向,品牌,抖音,香卡,7652162710582616802,,
2026-06-17 09:09:53,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652165387022497652#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",100,0,32,0,132,快乐的飞鸟,用户发布带有滴滴夏季香卡、夏日小乘凉、好服务有回报话题标签的抖音内容,地广/活动,正向,品牌,抖音,香卡,7652165387022497652,,
2026-06-17 08:20:34,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652152677221140451#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",83,0,23,0,106,快乐的飞鸟,推广滴滴夏季香卡活动,车内,正向,网约车,抖音,香卡,7652152677221140451,,
2026-06-17 08:54:32,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652161432423502245#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉
#滴滴好服务有回报",116,0,19,0,135,重庆滴滴姚师傅,滴滴司机分享夏季香卡相关活动内容,车内,正向,品牌,抖音,香卡,7652161432423502245,,
2026-06-17 10:57:40,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652193163415277179#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",91,0,31,0,122,沉默是金,关于滴滴夏季香卡活动的推广内容,车内,正向,网约车,抖音,香卡,7652193163415277179,,
2026-06-16 23:50:35,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652021259866034118#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",68,0,24,0,92,刘哥,用户分享滴滴夏季香卡相关内容，带有夏日小乘凉和好服务有回报的话题标签,车内,正向,网约车,抖音,香卡,7652021259866034118,,
2026-06-16 10:27:27,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651814291859019961#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",62,0,23,0,85,沉默是金,宣传滴滴夏季香卡活动,地广/活动,正向,品牌,抖音,香卡,7651814291859019961,,
2026-06-16 07:14:12,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651764490967753572#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",65,0,22,0,87,yzY,用户分享滴滴夏季香卡相关内容,车内,正向,网约车,抖音,香卡,7651764490967753572,,
2026-06-17 13:53:18,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652238421624908799#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",59,0,22,0,81,刘哥,滴滴夏季香卡推广内容,车内,正向,网约车,抖音,香卡,7652238421624908799,,
2026-06-17 22:24:01,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652370034488125861#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",73,0,19,0,92,草堂先生,用户发布滴滴夏季香卡相关话题内容,产品力,正向,品牌,抖音,香卡,7652370034488125861,,
2026-06-16 22:44:22,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652004191036625635#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,20,0,73,"@故作洒脱""互帮互助点赞加评论""",滴滴夏季香卡及夏日乘凉活动宣传,地广/活动,正向,品牌,抖音,香卡,7652004191036625635,,
2026-06-16 22:44:22,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652004191036625635#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",54,0,20,0,74,"@故作洒脱""互帮互助点赞加评论""",,,,,抖音,,7652004191036625635,,
2026-06-17 19:19:55,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652322592120264874#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",58,0,21,0,79,yzY,,,,,抖音,,7652322592120264874,,
2026-06-16 07:11:59,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651763921016095665#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,19,0,72,晋哥,,,,,抖音,,7651763921016095665,,
2026-06-17 23:18:44,#滴滴后排乘客的感受 #夜间网约车司机 #打车的体验感 #网约车承载的生活 #网约车的初衷,https://www.iesdouyin.com/share/video/7652384131914282890#ocr,#滴滴后排乘客的感受 #夜间网约车司机 #打车的体验感 #网约车承载的生活 #网约车的初衷,239,143,22,21,425,更好的环境,,,,,抖音,,7652384131914282890,,
2026-06-17 19:18:37,谁懂啊,https://www.iesdouyin.com/share/video/7652322258769675418,"谁懂啊！今天打车碰到个退役军人师傅，安全感直接拉满！
师傅笑着说：“以前保家卫国，现在保你平安到家。”
这话说的，瞬间觉得心里暖暖的～
#滴滴司机#暖心瞬间#退役军人 #打车奇遇",80,0,48,3,131,ᴵᴵ,,,,,抖音,,7652322258769675418,,
2026-06-17 10:55:24,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652192580424495545#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",54,0,24,0,78,沉默是金,,,,,抖音,,7652192580424495545,,
2026-06-17 16:06:03,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652272634109534459#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉  #滴滴好服务有回报,75,0,6,0,81,互关互赞最美最帅,,,,,抖音,,7652272634109534459,,
2026-06-17 13:05:38,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652226138975214458#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,60,0,11,0,71,网约车司机老吴,,,,,抖音,,7652226138975214458,,
2026-06-16 16:23:34,#滴滴夏季香片 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651906060068276800#ocr,"#滴滴夏季香片
#滴滴夏日小乘凉
#滴滴好服务有回报",53,0,20,0,73,陆晓伟 帮忙点赞加评论,,,,,抖音,,7651906060068276800,,
2026-06-17 21:49:54,十分给力的滴滴司机,https://www.iesdouyin.com/share/video/7652361239751108714,"十分给力的滴滴司机。
21:47的高铁，预计21:40才能到东站，师傅用技术给我争取了4分钟，21:36就到了。
完美上车。
#拼命 #滴滴司机 #极限卡点 #杭州东站",71,4,75,4,154,春风,,,,,抖音,,7652361239751108714,,
2026-06-16 13:15:53,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651857695520628138#ocr,"#滴滴夏季香卡 
  #滴滴夏日小乘凉
                      #滴滴好服务有回报
",79,0,6,1,86,跑滴滴来百丽,,,,,抖音,,7651857695520628138,,
2026-06-16 22:38:16,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652002623507434127#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",75,0,33,0,108,"@故作洒脱""互帮互助点赞加评论""",,,,,抖音,,7652002623507434127,,
2026-06-15 22:11:59,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651624765144265193#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",147,0,44,0,191,人生几何,,,,,抖音,,7651624765144265193,,
2026-06-15 23:02:26,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651637761695595974#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",274,0,65,0,339,人生几何,,,,,抖音,,7651637761695595974,,
2026-06-18 17:55:14,昆明的滴滴司机是懂浪漫的#滴滴司机,https://www.iesdouyin.com/share/video/7652671854415530737,昆明的滴滴司机是懂浪漫的#滴滴司机,319,0,0,9,328,香湘牌香蕉🍌,,,,,抖音,,7652671854415530737,,
2026-06-16 06:23:20,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7651751376665613795#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",154,0,9,0,163,F风暴B,,,,,抖音,,7651751376665613795,,
2026-06-18 14:47:56,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652623587228125046#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",196,0,20,0,216,🏀滴滴大师⚽,,,,,抖音,,7652623587228125046,,
2026-06-18 14:44:11,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652622620290466630#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",171,0,13,0,184,🏀滴滴大师⚽,,,,,抖音,,7652622620290466630,,
2026-06-16 16:53:26,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7651913753260629075#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉 
#滴滴好服务有回报",93,0,2,0,95,龙队（滴滴达人计划）👍,,,,,抖音,,7651913753260629075,,
2026-06-14 08:31:03,不要抱怨打车为什么没服务，不开空调,https://www.iesdouyin.com/share/video/7651042123198704226#ocr,不要抱怨打车为什么没服务，不开空调？因为他是滴滴特惠🤡#滴滴出行 #特惠快车 #网约车  #滴滴司机 #网约车,39,26,15,17,97,不烧机油的大众,,,,,抖音,,7651042123198704226,,
2026-06-18 21:52:23,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652732967332496485#ocr,"#滴滴夏季香卡 
#滴滴夏日小乘凉 
#滴滴好服务有回报",181,0,33,0,214,草堂先生,,,,,抖音,,7652732967332496485,,
2026-06-18 14:52:21,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652624724035717227#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",172,0,13,0,185,🏀滴滴大师⚽,,,,,抖音,,7652624724035717227,,
2026-06-18 13:53:38,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652609595097885093#ocr,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,79,0,12,0,91,网约车司机老吴,,,,,抖音,,7652609595097885093,,
2026-06-18 14:31:41,第一次坐出租车 奉劝各位 不要坐出租车 不要坐出租车 太坑了 贵的离谱今天算是见识了 比滴滴 要贵一半#滴滴司机 #出租车司机,https://www.iesdouyin.com/share/video/7652619401480569706,第一次坐出租车   奉劝各位   不要坐出租车 不要坐出租车  太坑了  贵的离谱今天算是见识了  比滴滴 要贵一半#滴滴司机 #出租车司机,40,4,63,3,110,Mr.楊的小世界,,,,,抖音,,7652619401480569706,,
2026-06-19 00:59:04,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652781074481000433#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",105,0,19,0,124,梦回唐朝👻,,,,,抖音,,7652781074481000433,,
2026-06-17 21:52:16,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652361854669127333#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",77,2,21,0,100,🐈大猫先生🎃,,,,,抖音,,7652361854669127333,,
2026-06-16 22:34:32,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7652001659506560399#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",71,0,32,0,103,"@故作洒脱""互帮互助点赞加评论""",,,,,抖音,,7652001659506560399,,
,,https://www.iesdouyin.com/share/video/7653074383992389861,,,,,,0,,,,,,抖音,,7653074383992389861,,
2026-06-19 16:26:06,网上说说得了，现实中谁不想急头白脸的跑一趟滴滴首单新人奖励啊😋#比亚迪 #比亚迪汉 #顺风车,https://www.iesdouyin.com/share/video/7653019968586294187#ocr,网上说说得了，现实中谁不想急头白脸的跑一趟滴滴首单新人奖励啊😋#比亚迪 #比亚迪汉 #顺风车,184,11,105,206,506,北部大区玻璃心,,,,,抖音,,7653019968586294187,,
2026-06-19 14:03:45,兰州西站打车经历 热乎的，我人还在出租车上，这不可思议的服务： 1️⃣有志愿者在车站门口帮忙打车且带路,https://www.iesdouyin.com/share/video/7652983283067948017,"兰州西站打车经历 热乎的，我人还在出租车上，这不可思议的服务：
1️⃣有志愿者在车站门口帮忙打车且带路！！
2️⃣滴滴司机全程礼貌用语，开车巨平稳，主动询问空调情况，解释交通拥堵原因，并推荐吃喝！！！
3️⃣我看见拖地阿姨，弄湿了一小片，她在用警示牌现场弄干防止行人滑倒！！！说实话，今天这么热，她完全可以放了牌子就走的，这一瞬间，对兰州印象好到爆了啊
正在从#兰州西站 打车去 #甘肃省博物馆",140,13,182,59,394,Yaoling_Chloe,,,,,抖音,,7652983283067948017,,
2026-06-19 22:07:46,oi～今天又洋气歪（评论区不能置顶，麻烦上来就应激的网友翻翻评论区作者的评论，或者看下作者新作品哈，也是见识到了物种的多样性）#滴滴 #打车 #臭车 #香,https://www.iesdouyin.com/share/video/7653108016330415817,oi～今天又洋气歪（评论区不能置顶，麻烦上来就应激的网友翻翻评论区作者的评论，或者看下作者新作品哈，也是见识到了物种的多样性）#滴滴 #打车 #臭车 #香,76,3,646,131,856,都是椰壳🥥,,,,,抖音,,7653108016330415817,,
2026-06-19 10:46:01,#滴滴好服务有回报 #百丽好服务手势舞挑战,https://www.iesdouyin.com/share/video/7652932330449893861#ocr,#滴滴好服务有回报 #百丽好服务手势舞挑战,222,0,45,0,267,♡挽手♚说_梦话♡↗,,,,,抖音,,7652932330449893861,,
2026-06-19 18:27:55,#滴滴夏季香卡#滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7653051362386005066#ocr,"#滴滴夏季香卡#滴滴夏日小乘凉
                      #滴滴好服务有回报",89,0,11,0,100,龙龙姐,,,,,抖音,,7653051362386005066,,
2026-06-20 11:40:32,在首尔打车tips,https://www.iesdouyin.com/share/video/7653317467841859493#ocr,在首尔打车tips！！ #真实生活分享计划 #首尔打车 #韩国交通 #出租车 #韩国打车贵不贵,159,16,50,186,411,张某人很爱笑,,,,,抖音,,7653317467841859493,,
2026-06-19 21:48:46,3次被中国人暖到后瑞士人想念深圳广州日常 瑞士人看中国生活｜这次在深圳和广州，我再次感受到一种在瑞士生活里比较少见的东西：人情味,https://www.iesdouyin.com/share/video/7653103122819631461,"3次被中国人暖到后瑞士人想念深圳广州日常 瑞士人看中国生活｜这次在深圳和广州，我再次感受到一种在瑞士生活里比较少见的东西：人情味。不是因为中国每个地方都完美，也不是因为瑞士不好。瑞士很安全、很安静、很有秩序，生活质量也很高。但有时候，人与人之间的距离真的比较远。坐车、吃饭、走在路上，大家都很礼貌，却很少真正交流。 
可是在中国，我作为一个外国人在中国旅行，常常会遇到很自然的善意。滴滴司机会主动跟我聊天，问我为什么来中国，问我喜不喜欢深圳和广州。虽然我的中文还不太好，但他们还是愿意慢慢听我说。还有一些朋友和粉丝给我发信息，想请我吃饭，想带我看看他们眼里的中国生活。我们可能以前完全不认识，但对方还是很热情，很自然，好像人与人之间没有那么厚的一堵墙。 
我在广州吃早茶，在深圳见朋友，也收到过很多很真诚的信息。有人推荐我去哪里吃饭，有人提醒我注意安全，有人说下次来他们的城市一定要联系他们。对你们来说，这可能只是很普通的客气。但对一个瑞士人来说，这种感觉真的很特别。因为在瑞士，大家通常不会轻易打扰别人，也不会太快走近一个陌生人。 
这种感觉很难用一句话解释。它不是豪华的东西，也不是旅游景点，而是普通日常里的温暖：有人愿意靠近你，有人愿意帮你，有人愿意和一个陌生人多说几句话。以前我觉得一个人旅行就是一个人吃饭、一个人坐车、一个人看风景。但在中国，我很多次感觉自己不是完全孤单的。 
也许中国有时候更热闹、更混乱、更没有计划，但也正因为这样，生活里多了一点真实的连接。瑞士给我的感觉是稳定和安静，中国给我的感觉是温暖和流动。也许我还没有完全理解中国文化，但我正在学习。谢谢你们一直以来的支持，也谢谢你们让我在中国感受到这种人情味。你们觉得这是中国生活的一部分吗？还是我只是运气好，遇到了很多温暖的人？ 
#瑞士
#中国生活
#外国人在中国
#广州
#上海citywalk
",339,12,28,0,379,萨沙Sascha,,,,,抖音,,7653103122819631461,,
2026-06-19 22:21:48,在武汉打车司机师傅居然,https://www.iesdouyin.com/share/video/7653111632419825000,在武汉打车司机师傅居然！ 武汉真不愧是新一线城市，连滴滴司机都那么有素质，那么有文化，这个师傅背完了《洛阳神赋》， 全文！全文！背完了之后，他又说了几首诗， 我随机报了个名字，他又背出来了-《琵琶行》全文都背出来了，太牛了！  本来想加速的，因为师傅背诵的语速真的铿锵有力，特别有感情，还是原速发出来了。我下车的时候他还说，感谢你把人生中宝贵的时间留给我，听我来背诗。#武汉 #武汉加油 #滴滴司机 #经历不完的酸甜苦辣 #旅游,75,1,14,1,91,涵涵的煲,,,,,抖音,,7653111632419825000,,
2026-06-20 16:21:03,治疗后脑子总有点不太灵光，这后遗症真让人无奈,https://www.iesdouyin.com/share/video/7653389755644134641,治疗后脑子总有点不太灵光，这后遗症真让人无奈。不过还好这个世界上好人多！必须好好夸夸今天遇到的滴滴司机师傅，拾金不昧的样子真的太暖了～#捡手机还给失主 #滴滴司机 #正能量 #生活碎片 #生活vlog,85,1,17,0,103,lulu在战斗,,,,,抖音,,7653389755644134641,,
2026-06-20 11:03:35,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7653307943940609390#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",68,2,28,0,98,江湖游侠,,,,,抖音,,7653307943940609390,,
2026-06-19 01:25:06,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7652787786605526202#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",35,0,48,0,83,北执c,,,,,抖音,,7652787786605526202,,
2026-06-20 01:30:41,#滴滴好服务有好回报 #滴滴清凉好服务,https://www.iesdouyin.com/share/video/7653160305752964069#ocr,"#滴滴好服务有好回报
#滴滴清凉好服务",74,1,14,0,89,时间he路人,,,,,抖音,,7653160305752964069,,
2026-06-20 20:07:42,#滴滴夏季香卡 #滴滴夏日小乘凉 #滴滴好服务有回报,https://www.iesdouyin.com/share/video/7653448158354081098#ocr,"#滴滴夏季香卡
#滴滴夏日小乘凉
#滴滴好服务有回报",66,2,30,0,98,江湖游侠,,,,,抖音,,7653448158354081098,,
,,https://www.iesdouyin.com/share/video/7653601377209348607,,,,,,0,,,,,,抖音,,7653601377209348607,,
